State,Zipcode,Recipients_Total,Grants_Total,Total,Black,White,NotHisp_Latino,Hisp_Latino,geoid,Median_Income,Below_Poverty_Percent,Below_Poverty_Total,Updated
Florida,32666,2,319562.77,6664.0,676.0,5967.0,6553.0,111.0,86000US32666,59250.0,17.3,1153.0,No
Florida,32667,1,20162.22,4352.0,1138.0,3342.0,4227.0,125.0,86000US32667,83400.0,12.84,558.0,No
Florida,32669,1,10761.78,14037.0,2046.0,12107.0,12951.0,1086.0,86000US32669,81813.0,7.2,1010.0,No
Florida,32696,1,160726.0,12436.0,2080.0,10364.0,10944.0,1492.0,86000US32696,60085.0,19.49,2395.0,No
Florida,32701,5,408308.25,22940.0,4771.0,16183.0,17342.0,5598.0,86000US32701,65795.0,14.59,3317.0,No
Florida,32703,8,1314978.87,53763.0,14885.0,34544.0,37542.0,16221.0,86000US32703,59069.0,15.6,8308.0,No
Florida,32704,1,8800.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
Florida,32707,7,855441.39,36036.0,3623.0,29402.0,25798.0,10238.0,86000US32707,66137.0,14.35,5158.0,No
Florida,32708,7,863663.98,45323.0,3231.0,38899.0,36100.0,9223.0,86000US32708,85779.0,8.17,3691.0,No
Florida,32712,6,349895.54,48151.0,7687.0,36928.0,36093.0,12058.0,86000US32712,88214.0,8.31,3981.0,No
Florida,32713,4,296188.72,20892.0,1277.0,19076.0,18388.0,2504.0,86000US32713,80923.0,9.01,1860.0,No
Florida,32714,7,3601215.11,37981.0,6668.0,29333.0,26076.0,11905.0,86000US32714,61869.0,12.01,4537.0,No
Florida,32720,15,1492905.01,32421.0,4431.0,26690.0,28292.0,4129.0,86000US32720,62601.0,13.14,4082.0,No
Florida,32724,5,209561.14,36961.0,3267.0,30982.0,30877.0,6084.0,86000US32724,65469.0,17.24,6169.0,No
Florida,32725,3,181507.28,49923.0,6413.0,38466.0,30905.0,19018.0,86000US32725,58948.0,11.0,5460.0,No
Florida,32726,10,2304459.72,22485.0,5293.0,17315.0,19202.0,3283.0,86000US32726,53389.0,19.9,4406.0,No
Florida,32732,1,97268.24,4576.0,20.0,4499.0,4530.0,46.0,86000US32732,95143.0,7.91,362.0,No
Florida,32736,3,164374.0,10848.0,338.0,10416.0,9755.0,1093.0,86000US32736,88464.0,5.78,625.0,No
Florida,32738,4,110549.84,45611.0,6778.0,35619.0,30677.0,14934.0,86000US32738,57835.0,13.88,6321.0,No
Florida,32746,19,4292899.21,45244.0,4161.0,35928.0,37845.0,7399.0,86000US32746,100412.0,6.67,2999.0,No
Florida,32750,21,2676471.03,25025.0,2107.0,21752.0,21017.0,4008.0,86000US32750,83533.0,8.75,2167.0,No
Florida,32751,18,3552795.32,22471.0,3958.0,16976.0,19399.0,3072.0,86000US32751,94779.0,12.5,2787.0,No
Florida,32757,11,1609598.19,27990.0,4622.0,22964.0,23418.0,4572.0,86000US32757,73319.0,12.71,3509.0,No
Florida,32763,4,626297.68,23277.0,1842.0,19746.0,19237.0,4040.0,86000US32763,57535.0,12.19,2793.0,No
Florida,32764,1,51636.0,3165.0,139.0,2988.0,3078.0,87.0,86000US32764,82019.0,7.27,230.0,No
Florida,32765,18,5334556.35,64268.0,6196.0,51770.0,52816.0,11452.0,86000US32765,100152.0,9.8,6209.0,No
Florida,32766,3,201144.62,16855.0,1166.0,14711.0,12961.0,3894.0,86000US32766,116994.0,5.24,879.0,No
Florida,32771,17,2128699.3,56266.0,16518.0,34634.0,46118.0,10148.0,86000US32771,72919.0,15.42,8621.0,No
Florida,32773,4,320154.29,31225.0,7755.0,20499.0,21551.0,9674.0,86000US32773,50690.0,15.59,4731.0,No
Florida,32776,2,461627.31,12029.0,962.0,10547.0,10223.0,1806.0,86000US32776,91070.0,6.31,756.0,No
Florida,32777,1,1211133.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
Florida,32778,1,1380.0,22454.0,3056.0,18773.0,19794.0,2660.0,86000US32778,65179.0,11.24,2423.0,No
Florida,32779,3,119583.3,29603.0,1456.0,26496.0,25507.0,4096.0,86000US32779,106607.0,6.21,1830.0,No
Florida,32780,7,799768.36,36116.0,6072.0,29495.0,34008.0,2108.0,86000US32780,63372.0,14.81,5324.0,No
Florida,32784,1,59473.09,12371.0,710.0,11454.0,11339.0,1032.0,86000US32784,64682.0,12.85,1589.0,No
Florida,32789,16,2524723.9,26483.0,2057.0,23165.0,23111.0,3372.0,86000US32789,120480.0,7.77,1939.0,No
Florida,32792,19,2346403.38,51659.0,6107.0,40689.0,37841.0,13818.0,86000US32792,72796.0,16.83,8591.0,No
Florida,32796,4,450752.33,20609.0,2560.0,17665.0,19312.0,1297.0,86000US32796,63271.0,16.42,3341.0,No
Florida,32798,1,115536.0,2882.0,142.0,2646.0,2359.0,523.0,86000US32798,71049.0,1.42,41.0,No
Florida,32801,43,20690226.93,12243.0,1076.0,10071.0,9264.0,2979.0,86000US32801,85132.0,19.74,2366.0,No
Florida,32803,32,8256237.53,20148.0,1175.0,17807.0,17089.0,3059.0,86000US32803,94286.0,8.74,1757.0,No
Florida,32804,12,1651759.79,18023.0,1364.0,15782.0,15737.0,2286.0,86000US32804,110000.0,10.33,1805.0,No
Florida,32805,11,1014884.32,18908.0,14558.0,3841.0,17178.0,1730.0,86000US32805,34597.0,27.43,5023.0,No
Florida,32806,12,1701898.16,27661.0,2007.0,24325.0,22875.0,4786.0,86000US32806,86801.0,13.67,3684.0,No
Florida,32807,13,1627062.82,34749.0,4638.0,26291.0,14111.0,20638.0,86000US32807,47782.0,18.02,6219.0,No
Florida,32808,14,2209323.58,59291.0,42640.0,11376.0,49959.0,9332.0,86000US32808,39534.0,27.19,15916.0,No
Florida,32809,27,8585575.57,29095.0,5169.0,19447.0,13312.0,15783.0,86000US32809,48875.0,20.58,5903.0,No
Florida,32810,11,9689721.04,37861.0,14125.0,20659.0,28412.0,9449.0,86000US32810,53801.0,17.57,6635.0,No
Florida,32811,9,1787252.9,41057.0,22870.0,14628.0,30973.0,10084.0,86000US32811,40608.0,21.56,8794.0,No
Florida,32812,4,101655.31,35855.0,3577.0,28800.0,22403.0,13452.0,86000US32812,65552.0,15.34,5489.0,No
Florida,32814,3,501654.25,8021.0,334.0,6854.0,6332.0,1689.0,86000US32814,154853.0,6.09,485.0,No
Florida,32817,9,420141.75,35737.0,3458.0,26208.0,24706.0,11031.0,86000US32817,76061.0,18.49,6293.0,No
Florida,32818,10,2827559.92,58198.0,39752.0,12976.0,49324.0,8874.0,86000US32818,48196.0,20.93,12098.0,No
Florida,32819,55,38980224.18,27840.0,4407.0,19709.0,22439.0,5401.0,86000US32819,84033.0,9.82,2667.0,No
Florida,32820,1,21474.0,10442.0,1596.0,8454.0,7179.0,3263.0,86000US32820,96119.0,11.14,1149.0,No
Florida,32821,18,5497391.63,17680.0,1458.0,13610.0,11968.0,5712.0,86000US32821,55613.0,11.85,2086.0,No
Florida,32822,13,1853591.16,61760.0,7216.0,49582.0,22828.0,38932.0,86000US32822,41930.0,22.81,14055.0,No
Florida,32824,5,4132486.34,46482.0,6972.0,32602.0,18152.0,28330.0,86000US32824,70311.0,9.65,4481.0,No
Florida,32825,7,744677.16,61289.0,7051.0,46384.0,31488.0,29801.0,86000US32825,64437.0,14.07,8596.0,No
Florida,32826,3,413439.66,35981.0,3392.0,30353.0,27030.0,8951.0,86000US32826,61791.0,22.3,4671.0,No
Florida,32827,8,707467.68,9427.0,578.0,7702.0,5880.0,3547.0,86000US32827,100828.0,8.2,770.0,No
Florida,32828,11,1128015.81,69497.0,10222.0,52118.0,46060.0,23437.0,86000US32828,84268.0,11.18,7748.0,No
Florida,32829,3,206287.31,20376.0,2924.0,15457.0,8798.0,11578.0,86000US32829,81549.0,6.92,1405.0,No
Florida,32830,2,14430815.0,6.0,0.0,6.0,0.0,6.0,86000US32830,N/A,0.0,0.0,No
Florida,32832,6,551728.94,27919.0,3190.0,22002.0,17364.0,10555.0,86000US32832,103342.0,6.86,1915.0,No
