Zipcode,Total,Black,White,NotHisp_Latino,Hisp_Latino,geoid,Median_Income,Below_Poverty_Percent,Below_Poverty_Total,Updated
32395,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32399,0.0,0.0,0.0,0.0,0.0,86000US32399,N/A,N/A,N/A,No
32401,22027.0,7052.0,15213.0,20795.0,1232.0,86000US32401,47665.0,25.54,5538.0,No
32402,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32403,2779.0,430.0,2082.0,2287.0,492.0,86000US32403,64549.0,2.92,70.0,No
32404,39503.0,6087.0,31360.0,36672.0,2831.0,86000US32404,67955.0,13.32,5148.0,No
32405,32239.0,5026.0,26411.0,29611.0,2628.0,86000US32405,64405.0,16.89,5372.0,No
32406,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32407,10822.0,733.0,9709.0,9870.0,952.0,86000US32407,75135.0,8.79,938.0,No
32408,18864.0,853.0,17364.0,18005.0,859.0,86000US32408,79016.0,15.17,2851.0,No
32409,10144.0,69.0,9838.0,9707.0,437.0,86000US32409,74970.0,11.7,1185.0,No
32410,964.0,0.0,943.0,894.0,70.0,86000US32410,73750.0,8.09,78.0,No
32411,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32412,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32413,14805.0,472.0,13546.0,13936.0,869.0,86000US32413,77177.0,7.92,1172.0,No
32417,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32420,1958.0,18.0,1897.0,1899.0,59.0,86000US32420,48571.0,17.06,331.0,No
32421,4834.0,55.0,4662.0,4709.0,125.0,86000US32421,50398.0,14.71,711.0,No
32422,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32423,966.0,224.0,742.0,911.0,55.0,86000US32423,67260.0,2.9,28.0,No
32424,7514.0,2086.0,5346.0,6852.0,662.0,86000US32424,63958.0,16.55,906.0,No
32425,13586.0,1188.0,12067.0,13270.0,316.0,86000US32425,51265.0,24.76,2917.0,No
32426,814.0,532.0,245.0,803.0,11.0,86000US32426,31917.0,20.96,170.0,No
32427,1034.0,157.0,789.0,1003.0,31.0,86000US32427,41406.0,35.33,360.0,No
32428,17564.0,2947.0,14307.0,16758.0,806.0,86000US32428,48206.0,22.77,3356.0,No
32430,1173.0,0.0,1138.0,1134.0,39.0,86000US32430,57750.0,12.87,151.0,No
32431,4145.0,652.0,3462.0,3960.0,185.0,86000US32431,56875.0,19.39,798.0,No
32432,0.0,0.0,0.0,0.0,0.0,86000US32432,N/A,N/A,N/A,No
32433,17877.0,2267.0,15310.0,16824.0,1053.0,86000US32433,53099.0,23.37,3778.0,No
32434,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32435,7494.0,557.0,6739.0,7270.0,224.0,86000US32435,55625.0,16.06,1174.0,No
32437,843.0,278.0,532.0,843.0,0.0,86000US32437,26023.0,51.01,430.0,No
32438,3822.0,9.0,3760.0,3611.0,211.0,86000US32438,32454.0,36.58,1363.0,No
32439,10413.0,412.0,9180.0,9000.0,1413.0,86000US32439,66929.0,10.82,1126.0,No
32440,7777.0,1902.0,5761.0,7253.0,524.0,86000US32440,54866.0,20.72,1098.0,No
32442,3299.0,506.0,2857.0,3260.0,39.0,86000US32442,50852.0,15.08,493.0,No
32443,3165.0,1330.0,1798.0,3076.0,89.0,86000US32443,48864.0,23.85,755.0,No
32444,22163.0,2081.0,19581.0,20868.0,1295.0,86000US32444,82273.0,10.16,2249.0,No
32445,2497.0,910.0,1488.0,2171.0,326.0,86000US32445,34507.0,31.48,385.0,No
32446,11115.0,2533.0,8358.0,10581.0,534.0,86000US32446,56927.0,14.34,1387.0,No
32447,159.0,122.0,31.0,128.0,31.0,86000US32447,N/A,N/A,N/A,No
32448,8405.0,3079.0,5081.0,8246.0,159.0,86000US32448,42355.0,27.83,2307.0,No
32449,552.0,0.0,552.0,552.0,0.0,86000US32449,52813.0,1.09,6.0,No
32452,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32454,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32455,4081.0,82.0,3798.0,4043.0,38.0,86000US32455,49643.0,17.06,684.0,No
32456,8036.0,1277.0,6650.0,7856.0,180.0,86000US32456,60346.0,10.59,836.0,No
32457,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32459,17213.0,329.0,16578.0,16260.0,953.0,86000US32459,96987.0,6.09,1045.0,No
32460,5690.0,1688.0,3902.0,5246.0,444.0,86000US32460,55425.0,15.67,537.0,No
32461,36.0,0.0,36.0,36.0,0.0,86000US32461,N/A,0.0,0.0,No
32462,3488.0,504.0,2754.0,3410.0,78.0,86000US32462,50000.0,19.58,683.0,No
32463,216.0,23.0,193.0,216.0,0.0,86000US32463,51250.0,28.7,62.0,No
32464,4367.0,61.0,4187.0,4265.0,102.0,86000US32464,57637.0,20.47,894.0,No
32465,7962.0,1518.0,6373.0,7446.0,516.0,86000US32465,54167.0,15.34,868.0,No
32466,5795.0,230.0,5503.0,5593.0,202.0,86000US32466,60960.0,5.83,336.0,No
32501,11134.0,6504.0,4655.0,10663.0,471.0,86000US32501,43352.0,30.84,3024.0,No
32502,3331.0,946.0,2592.0,3218.0,113.0,86000US32502,90694.0,18.25,608.0,No
