geoid,Zipcode,Median_Income
86000US33844,33844,45162
86000US33847,33847,70208
86000US33848,33848,56028
86000US33849,33849,46211
86000US33850,33850,53623
86000US33851,33851,52375
86000US33852,33852,44947
86000US33853,33853,55092
86000US33854,33854,
86000US33855,33855,
86000US33856,33856,30781
86000US33857,33857,32617
86000US33859,33859,49254
86000US33860,33860,54316
86000US33865,33865,55333
86000US33867,33867,40192
86000US33868,33868,57723
86000US33870,33870,43011
86000US33872,33872,52725
86000US33873,33873,49861
86000US33875,33875,63356
86000US33876,33876,63100
86000US33877,33877,
86000US33880,33880,50872
86000US33881,33881,49479
86000US33884,33884,66582
86000US33890,33890,41897
86000US33896,33896,60989
86000US33897,33897,62336
86000US33898,33898,47945
86000US33901,33901,59556
86000US33903,33903,57289
86000US33904,33904,67263
86000US33905,33905,58616
86000US33907,33907,54830
86000US33908,33908,86094
86000US33909,33909,64964
86000US33912,33912,93814
86000US33913,33913,104667
86000US33914,33914,79206
86000US33916,33916,40678
86000US33917,33917,63941
86000US33919,33919,75286
86000US33920,33920,82250
86000US33921,33921,123008
86000US33922,33922,53614
86000US33924,33924,2499
86000US33928,33928,92592
86000US33930,33930,52957
86000US33931,33931,74232
86000US33935,33935,41476
86000US33936,33936,47151
86000US33944,33944,
86000US33945,33945,
86000US33946,33946,104615
86000US33947,33947,60853
86000US33948,33948,58775
86000US33950,33950,77154
86000US33952,33952,51793
86000US33953,33953,64637
86000US33954,33954,66420
86000US33955,33955,80545
86000US33956,33956,59309
86000US33957,33957,129223
86000US33960,33960,52974
86000US33965,33965,
86000US33966,33966,75811
86000US33967,33967,76114
86000US33971,33971,53217
86000US33972,33972,61988
86000US33973,33973,43065
86000US33974,33974,50126
86000US33976,33976,48397
86000US33980,33980,57909
86000US33981,33981,61702
86000US33982,33982,64562
86000US33983,33983,71293
86000US33990,33990,68872
86000US33991,33991,81580
86000US33993,33993,73355
86000US34101,34101,
86000US34102,34102,148700
86000US34103,34103,129583
86000US34104,34104,61633
86000US34105,34105,116516
86000US34108,34108,136622
86000US34109,34109,91861
86000US34110,34110,96528
86000US34112,34112,71649
86000US34113,34113,70938
86000US34114,34114,67294
86000US34116,34116,51816
86000US34117,34117,78205
86000US34119,34119,101243
86000US34120,34120,85394
86000US34134,34134,120542
86000US34135,34135,77356
86000US34137,34137,
86000US34138,34138,
86000US34139,34139,80250
86000US34140,34140,
86000US34141,34141,
86000US34142,34142,33345
86000US34145,34145,98929
86000US34201,34201,96233
86000US34202,34202,118278
86000US34203,34203,64228
86000US34205,34205,52819
86000US34207,34207,49087
86000US34208,34208,55282
86000US34209,34209,76639
86000US34210,34210,57929
86000US34211,34211,130212
86000US34212,34212,110758
86000US34215,34215,46172
86000US34216,34216,91250
86000US34217,34217,90809
86000US34219,34219,91640
86000US34221,34221,67372
86000US34222,34222,64313
86000US34223,34223,70415
86000US34224,34224,56507
86000US34228,34228,144457
86000US34229,34229,101439
86000US34231,34231,71521
86000US34232,34232,77298
86000US34233,34233,86518
86000US34234,34234,45694
86000US34235,34235,67917
86000US34236,34236,124458
86000US34237,34237,56226
86000US34238,34238,107500
86000US34239,34239,78615
86000US34240,34240,103266
86000US34241,34241,91882
86000US34242,34242,134505
86000US34243,34243,78180
86000US34251,34251,78424
86000US34266,34266,39752
86000US34268,34268,
86000US34269,34269,53512
86000US34275,34275,77842
86000US34285,34285,79743
86000US34286,34286,72346
86000US34287,34287,57924
86000US34288,34288,83387
86000US34289,34289,82617
86000US34291,34291,64352
86000US34292,34292,85873
86000US34293,34293,77768
86000US34420,34420,56178
86000US34428,34428,54910
86000US34429,34429,62619
86000US34431,34431,49800
86000US34432,34432,53200
86000US34433,34433,59587
86000US34434,34434,51032
86000US34436,34436,49520
86000US34442,34442,66442
86000US34445,34445,
86000US34446,34446,54524
86000US34448,34448,50708
86000US34449,34449,39301
86000US34450,34450,49973
86000US34452,34452,52849
86000US34453,34453,50179
86000US34461,34461,59103
86000US34465,34465,49872
86000US34470,34470,48759
86000US34471,34471,71297
86000US34472,34472,48172
86000US34473,34473,61402
86000US34474,34474,53982
86000US34475,34475,32632
86000US34476,34476,62603
86000US34479,34479,45797
86000US34480,34480,63797
86000US34481,34481,57350
86000US34482,34482,54107
86000US34484,34484,80658
86000US34488,34488,46297
86000US34491,34491,55480
86000US34498,34498,40795
86000US34601,34601,49890
86000US34602,34602,63810
86000US34604,34604,72785
86000US34606,34606,50338
86000US34607,34607,59428
86000US34608,34608,55793
86000US34609,34609,64442
86000US34610,34610,66694
86000US34613,34613,54122
86000US34614,34614,63485
86000US34637,34637,93571
86000US34638,34638,100138
86000US34639,34639,98320
86000US34652,34652,51243
86000US34653,34653,50890
86000US34654,34654,63247
86000US34655,34655,79054
86000US34661,34661,
86000US34667,34667,52494
86000US34668,34668,46497
86000US34669,34669,59446
86000US34677,34677,78911
86000US34679,34679,
86000US34681,34681,
86000US34683,34683,84590
86000US34684,34684,68040
86000US34685,34685,99770
86000US34688,34688,107275
86000US34689,34689,67917
86000US34690,34690,44278
86000US34691,34691,46227
86000US34695,34695,95194
86000US34698,34698,67243
86000US34705,34705,65139
86000US34711,34711,80210
86000US34714,34714,55065
86000US34715,34715,70318
86000US34731,34731,61105
86000US34734,34734,80729
86000US34736,34736,66552
86000US34737,34737,80550
86000US34739,34739,
86000US34741,34741,39867
86000US34743,34743,49884
86000US34744,34744,55745
86000US34746,34746,61563
86000US34747,34747,77097
86000US34748,34748,54320
86000US34753,34753,41772
86000US34756,34756,84464
86000US34758,34758,57340
86000US34759,34759,53796
86000US34760,34760,81875
86000US34761,34761,74433
86000US34762,34762,82846
86000US34769,34769,51901
86000US34771,34771,80376
86000US34772,34772,74741
86000US34773,34773,71802
86000US34785,34785,77121
86000US34786,34786,118187
86000US34787,34787,95636
86000US34788,34788,54794
86000US34797,34797,76500
86000US34945,34945,67500
86000US34946,34946,47500
86000US34947,34947,36619
86000US34949,34949,87259
86000US34950,34950,35711
86000US34951,34951,57409
86000US34952,34952,56689
86000US34953,34953,65193
86000US34956,34956,40694
86000US34957,34957,76823
86000US34972,34972,44611
86000US34974,34974,51696
86000US34981,34981,69429
86000US34982,34982,51393
86000US34983,34983,57408
86000US34984,34984,79017
86000US34986,34986,70857
86000US34987,34987,80086
86000US34990,34990,104199
86000US34994,34994,61172
86000US34996,34996,103525
86000US34997,34997,68992
