Zipcode,NotHisp_Latino,Hisp_Latino
34429,8101,237
34431,7453,549
34432,11788,885
34433,5723,851
34434,7336,685
34436,7746,423
34442,14032,720
34445,0,0
34446,16563,891
34448,10244,150
34449,3076,116
34450,10104,588
34452,11146,757
34453,9770,851
34461,10784,596
34465,16227,1228
34470,17363,2431
34471,22492,3242
34472,25163,6181
34473,12840,7158
34474,13512,3631
34475,11488,1691
34476,20645,2634
34479,12021,1582
34480,17004,2184
34481,18743,2220
34482,20060,4292
34484,3484,153
34488,10001,423
34491,23755,2859
34498,573,12
34601,20862,1625
34602,7365,332
34604,11185,1423
34606,23122,4087
34607,7539,864
34608,27440,7362
34609,35331,6896
34610,13581,1117
34613,16588,1336
34614,6574,621
34637,7361,1050
34638,21435,7174
34639,24271,5124
34652,20636,3052
34653,29576,5012
34654,21489,1446
34655,38005,3867
34661,90,14
34667,30559,2713
34668,41064,7082
34669,11889,1415
34677,19679,2490
34679,43,0
34681,662,68
34683,31341,2173
34684,26535,2553
34685,16838,1160
34688,7001,442
34689,24843,2602
34690,9882,1526
34691,17470,2787
34695,17035,1347
34698,36730,1990
34705,2398,462
34711,49909,11685
34714,14026,8354
34715,14814,3427
34731,14059,799
34734,3719,872
34736,15666,3605
34737,2235,707
34739,195,48
34741,15473,32237
34743,11301,33808
34744,23371,33763
34746,21276,23031
34747,15753,5601
34748,35441,4536
34753,3428,2504
34756,3134,371
34758,16821,26322
34759,19173,21540
34760,726,137
34761,33249,12615
34762,544,0
34769,16733,8262
34771,14957,6095
34772,18761,12675
34773,3144,584
34785,34774,3323
34786,37753,8083
34787,53443,16533
34788,16609,1584
34797,952,89
34945,4322,865
34946,5638,441
34947,11141,3014
34949,7335,328
34950,12569,4034
34951,15490,1616
34952,34466,7101
34953,54155,16550
34956,4966,5292
34957,21552,1652
34972,13287,7590
34974,20938,3014
34981,4404,989
34982,19390,5745
34983,33622,9196
34984,12241,3794
34986,24161,4104
34987,8515,1202
34990,28278,1721
34994,15269,2531
34996,9792,949
34997,36530,8102
